,album,track_name,track_id,duration_sec,popularity,release_date,artist
0,VULTURES 2,SLIDE,5MGMXOhVvwzCjFgdQsFokR,197.777,65,2024-08-03,Kanye West
1,VULTURES 2,TIME MOVING SLOW,0JgassGI6jNxpX82jGpcuJ,159.669,63,2024-08-03,Kanye West
2,VULTURES 2,FIELD TRIP,7vv89PswQvqGKCGJ1rw5on,163.155,77,2024-08-03,Kanye West
3,VULTURES 2,FRIED,4Qay2jEWJYjXmJ8eNOGtaD,166.4,66,2024-08-03,Kanye West
4,VULTURES 2,ISABELLA,36XrocrUkmem00MPm2kIst,8.895,9,2024-08-03,Kanye West
5,VULTURES 2,PROMOTION,6bSfeCXlUaGa3eWCy5qPTb,158.98,71,2024-08-03,Kanye West
6,VULTURES 2,530,2tPNj9sUt3FbjEUqBzZazv,288.0,69,2024-08-03,Kanye West
7,VULTURES 2,DEAD,488lIy4J0jJdPUiWqa0doB,263.283,64,2024-08-03,Kanye West
8,VULTURES 2,FOREVER ROLLING,1MTpRBLniy6298BCdyKUfQ,194.655,60,2024-08-03,Kanye West
9,VULTURES 2,BOMB,2kgxyflhiicDbF8SDrBxqy,151.263,58,2024-08-03,Kanye West
10,VULTURES 2,RIVER,5RzSnxqTx4vYEp9re5E0ud,247.272,67,2024-08-03,Kanye West
11,VULTURES 2,FOREVER,1Cxq3u0RQ0tEBbVofZ9Mma,135.737,54,2024-08-03,Kanye West
12,VULTURES 2,HUSBAND,6LHeisjoP8eHrtu45UbTPO,137.6,57,2024-08-03,Kanye West
13,VULTURES 2,LIFESTYLE,40FRxwg8SEMO3fbMjFfphU,203.2,57,2024-08-03,Kanye West
14,VULTURES 2,SKY CITY,7a0tTD7xdvKsNcJfMIDWp4,262.025,60,2024-08-03,Kanye West
15,VULTURES 2,MY SOUL,3bTkWuPGJ1ueGXBHWVUwAI,251.572,53,2024-08-03,Kanye West
16,VULTURES 2,SLIDE,0XDzR8OpZWYH0eE6KYF2iI,198.0,46,2024-08-03,Kanye West
17,VULTURES 2,TIME MOVING SLOW,1R7eMSKgatyWobFUdbXgpL,159.669,44,2024-08-03,Kanye West
18,VULTURES 2,FIELD TRIP,38yTBBKzhv6vPkMONXXtJx,167.213,52,2024-08-03,Kanye West
19,VULTURES 2,FRIED,2gB9PuHs1eQc9yd0CRNruO,153.6,58,2024-08-03,Kanye West
20,VULTURES 2,ISABELLA,1dZMwxr9y1MQvyljOCUxw3,8.895,3,2024-08-03,Kanye West
21,VULTURES 2,PROMOTION,5NLwnrNnwm3exqGYt61ucF,158.98,46,2024-08-03,Kanye West
22,VULTURES 2,530,6Lo67fRKutuSH1FcweSgrD,289.488,48,2024-08-03,Kanye West
23,VULTURES 2,DEAD,0rewLhVIEuPWzfL95KexaZ,263.283,43,2024-08-03,Kanye West
24,VULTURES 2,FOREVER ROLLING,76y1mvWGWfCEx4nfgsG3Y2,198.333,41,2024-08-03,Kanye West
25,VULTURES 2,BOMB,5uYiYB1LpVFeSrRJXzqXhV,151.657,40,2024-08-03,Kanye West
26,VULTURES 2,RIVER,3ot9Q9q70oYxAMCMExbf2b,247.272,44,2024-08-03,Kanye West
27,VULTURES 2,FOREVER,15L6Fd2cpsX6h8vrvDu4ez,87.54,44,2024-08-03,Kanye West
28,VULTURES 2,HUSBAND,1eI7G0CvQmbHl7RHfqe6v6,137.6,38,2024-08-03,Kanye West
29,VULTURES 2,LIFESTYLE,4vmU2FTMr5YP21zmvmw7CF,203.228,43,2024-08-03,Kanye West
30,VULTURES 2,SKY CITY,2V5dKjrl7niQLzpoaRnCKg,262.234,45,2024-08-03,Kanye West
31,VULTURES 2,MY SOUL,6Yayz5y4EC1IyPmbTN1Ahm,237.248,40,2024-08-03,Kanye West
32,VULTURES 1,STARS,1LaTWJ35Atk7Esoqxdb1WG,115.238,64,2024-02-09,Kanye West
33,VULTURES 1,KEYS TO MY LIFE,7oPlYYNWDSEQRDb978Bhhc,174.083,58,2024-02-09,Kanye West
34,VULTURES 1,PAID,2uK5bMcng3sT2tv0BOyhCt,195.117,62,2024-02-09,Kanye West
35,VULTURES 1,TALKING,3cPz4AkNOXwDf4DlWmKmIE,185.11,60,2024-02-09,Kanye West
36,VULTURES 1,BACK TO ME,5d4XWuMLbTuPMTPaMYA0VG,295.471,67,2024-02-09,Kanye West
37,VULTURES 1,HOODRAT,5FlpNdFCZfcrtV6HcAg9Rx,222.982,56,2024-02-09,Kanye West
38,VULTURES 1,DO IT,5iroQL70VoSFrC8ZhVnskA,225.0,66,2024-02-09,Kanye West
39,VULTURES 1,PAPERWORK,4QrJxzBxuIWWW0NxA6FRNF,145.785,61,2024-02-09,Kanye West
40,VULTURES 1,BURN,38BgRP0EX5p0sBj0fFhqN9,111.458,74,2024-02-09,Kanye West
41,VULTURES 1,FUK SUMN,4eIYnlcgI2chjQBuW1VRr7,209.577,73,2024-02-09,Kanye West
42,VULTURES 1,VULTURES,0Cz12ejDQ5L1c1f4sVck4n,276.986,62,2024-02-09,Kanye West
43,VULTURES 1,CARNIVAL,4OssqCixV2Xsxd43wMIQyS,264.324,82,2024-02-09,Kanye West
44,VULTURES 1,BEG FORGIVENESS,6hMzSNx3vrFu3y27lnEDWE,368.739,60,2024-02-09,Kanye West
45,VULTURES 1,PROBLEMATIC,1zO4yPBdlaRSLko5BY33od,194.713,60,2024-02-09,Kanye West
46,VULTURES 1,KING,3nmtzobpqStsxsfRNykwFC,156.862,57,2024-02-09,Kanye West
47,Donda (Deluxe),Donda Chant,3xQTo7wPYHZtFbHAoygz2c,52.061,39,2021-11-14,Kanye West
48,Donda (Deluxe),Hurricane,0TAUAUIEtq06TdQDVlUSxW,243.187,54,2021-11-14,Kanye West
49,Donda (Deluxe),Moon,0tffNoL4418lhzZmJJFNB7,156.091,54,2021-11-14,Kanye West
50,Donda (Deluxe),Life Of The Party (with André 3000),2yBb1CRq98SSWRuDSn36SZ,391.656,60,2021-11-14,Kanye West
51,Donda (Deluxe),Off The Grid,0YYMXRKWFKESvU7XVK5JlE,339.249,54,2021-11-14,Kanye West
