,album,track_name,track_id,duration_sec,popularity,release_date,artist
0,Mr. Morale & The Big Steppers,United In Grief,5Gt9bxniM1SxN61yRzRhXL,255.377,73,2022-05-13,Kendrick Lamar
1,Mr. Morale & The Big Steppers,N95,0fX4oNGBWO3dSGUZcVdVV2,195.95,76,2022-05-13,Kendrick Lamar
2,Mr. Morale & The Big Steppers,Worldwide Steppers,66mVPWmFvXPFf8pjK5ttOW,203.367,60,2022-05-13,Kendrick Lamar
3,Mr. Morale & The Big Steppers,Die Hard,2g6tReTlM2Akp41g0HaeXN,239.026,72,2022-05-13,Kendrick Lamar
4,Mr. Morale & The Big Steppers,Father Time (feat. Sampha),28qA8y1sz0FTuSapsCxNOG,222.497,69,2022-05-13,Kendrick Lamar
5,Mr. Morale & The Big Steppers,Rich - Interlude,15pyFQHCTVp6T7vaWctSgO,103.319,56,2022-05-13,Kendrick Lamar
6,Mr. Morale & The Big Steppers,Rich Spirit,1QPreu0BNOrUfEb8HTd2qG,202.285,74,2022-05-13,Kendrick Lamar
7,Mr. Morale & The Big Steppers,We Cry Together,67XC51nlZncNpHmZ8rOU9a,341.307,62,2022-05-13,Kendrick Lamar
8,Mr. Morale & The Big Steppers,Purple Hearts,1REVvAphiSTJyKQ1fDpHa4,329.295,63,2022-05-13,Kendrick Lamar
9,Mr. Morale & The Big Steppers,Count Me Out,6BU1RZexmvJcBjgagVVt3M,283.642,75,2022-05-13,Kendrick Lamar
10,Mr. Morale & The Big Steppers,Crown,4zMxWSP2qZUy5CBCH5PdzZ,264.299,58,2022-05-13,Kendrick Lamar
11,Mr. Morale & The Big Steppers,Silent Hill,3lzUeaCbcCDB5IXYfqWRlF,220.779,67,2022-05-13,Kendrick Lamar
12,Mr. Morale & The Big Steppers,Savior - Interlude,5G4uLkFKdEZLcuNyeomQmE,152.985,57,2022-05-13,Kendrick Lamar
13,Mr. Morale & The Big Steppers,Savior,3drdWsJKiVCSQ2gKhd9BDT,224.466,64,2022-05-13,Kendrick Lamar
14,Mr. Morale & The Big Steppers,Auntie Diaries,1uY1X8YeBixs1FdQ3fQ7d4,281.069,57,2022-05-13,Kendrick Lamar
15,Mr. Morale & The Big Steppers,Mr. Morale,6CmpZfKUQ2KerzBFZ3QKFr,210.841,62,2022-05-13,Kendrick Lamar
16,Mr. Morale & The Big Steppers,Mother I Sober (feat. Beth Gibbons of Portishead),346SJSEbB6pNZMpwovxDiu,406.528,57,2022-05-13,Kendrick Lamar
17,Mr. Morale & The Big Steppers,Mirror,5xoYormSTltk6F9SlQV6mm,256.006,62,2022-05-13,Kendrick Lamar
18,Mr. Morale & The Big Steppers,The Heart Part 5,5qbhVL3vB7HwWvb0042B7y,332.228,60,2022-05-13,Kendrick Lamar
19,Black Panther The Album Music From And Inspired By,Black Panther,5qN4HFkapdAOV94XPryVof,130.613,50,2018-02-09,Kendrick Lamar
20,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,232.186,85,2018-02-09,Kendrick Lamar
21,Black Panther The Album Music From And Inspired By,X (with 2 Chainz & Saudi),4LmAnpjlhWTahvRkYR8xJa,267.426,59,2018-02-09,Kendrick Lamar
22,Black Panther The Album Music From And Inspired By,The Ways (with Swae Lee),5jyyPsIGM2yqkZN9R3TmvN,238.893,58,2018-02-09,Kendrick Lamar
23,Black Panther The Album Music From And Inspired By,Opps (with Yugen Blakrok),7bUcBztfGqO7cSI2gMZeCI,180.893,50,2018-02-09,Kendrick Lamar
24,Black Panther The Album Music From And Inspired By,I Am,0DJBgBiYeSn6n1AXAkFVE8,208.76,52,2018-02-09,Kendrick Lamar
25,Black Panther The Album Music From And Inspired By,Paramedic!,2tPcTFiQF9MbVUyjZ3zDhA,219.306,59,2018-02-09,Kendrick Lamar
26,Black Panther The Album Music From And Inspired By,Bloody Waters (with Anderson .Paak & James Blake),4KXwFI9pgJLpUIAc9oSL8j,272.306,48,2018-02-09,Kendrick Lamar
27,Black Panther The Album Music From And Inspired By,"King's Dead (with Kendrick Lamar, Future & James Blake)",1eLSF6HfrRA0AsNmTkUlKx,225.266,58,2018-02-09,Kendrick Lamar
28,Black Panther The Album Music From And Inspired By,Redemption Interlude,4FpfU1O7WCLBnmwu5XAFk4,85.266,44,2018-02-09,Kendrick Lamar
29,Black Panther The Album Music From And Inspired By,Redemption (with Babes Wodumo),76iVOVsliCHlWqKuDnCfhE,222.093,48,2018-02-09,Kendrick Lamar
30,Black Panther The Album Music From And Inspired By,Seasons (with Sjava & Reason),35cOyocq8Gb6UcT0NWeTwn,242.293,49,2018-02-09,Kendrick Lamar
31,Black Panther The Album Music From And Inspired By,Big Shot (with Travis Scott),5cXg9IQS34FzLVdHhp7hu7,221.826,59,2018-02-09,Kendrick Lamar
32,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,211.44,66,2018-02-09,Kendrick Lamar
33,DAMN. COLLECTORS EDITION.,DUCKWORTH.,2PESSRrfGBuDrJ1I7rm8dc,248.613,46,2017-12-08,Kendrick Lamar
34,DAMN. COLLECTORS EDITION.,GOD.,4suzR7RVn00QijvJPkMVMf,248.826,41,2017-12-08,Kendrick Lamar
35,DAMN. COLLECTORS EDITION.,FEAR.,28J8MZFrSMvd5gWxAGRBq1,460.573,43,2017-12-08,Kendrick Lamar
36,DAMN. COLLECTORS EDITION.,XXX. FEAT. U2.,0lJZRic5kToowUXH35uy7P,254.2,45,2017-12-08,Kendrick Lamar
37,DAMN. COLLECTORS EDITION.,LOVE. FEAT. ZACARI.,0R9U7yIlLm8KAL6iQbwKKT,213.4,44,2017-12-08,Kendrick Lamar
38,DAMN. COLLECTORS EDITION.,LUST.,1PKNKessUE10zYclDWNRfE,307.88,41,2017-12-08,Kendrick Lamar
39,DAMN. COLLECTORS EDITION.,HUMBLE.,0gvQoTWRxsW5Rd7KgPp0u3,177.0,47,2017-12-08,Kendrick Lamar
40,DAMN. COLLECTORS EDITION.,PRIDE.,1P9LiOkE3LnKSYsoz1F8A7,275.253,51,2017-12-08,Kendrick Lamar
41,DAMN. COLLECTORS EDITION.,LOYALTY. FEAT. RIHANNA.,0Omhxcy38tjNxqVZshdfpf,227.36,43,2017-12-08,Kendrick Lamar
42,DAMN. COLLECTORS EDITION.,FEEL.,3hKPfWwm32Nv7Xj57lrxeC,214.826,41,2017-12-08,Kendrick Lamar
43,DAMN. COLLECTORS EDITION.,ELEMENT.,3uubYELqTxIOqGalMtUq63,208.733,42,2017-12-08,Kendrick Lamar
44,DAMN. COLLECTORS EDITION.,YAH.,7tC6nVqWp4FALU6I3li1g9,160.293,39,2017-12-08,Kendrick Lamar
45,DAMN. COLLECTORS EDITION.,DNA.,4odAJ4IxmYzy3co4TeYP24,185.946,43,2017-12-08,Kendrick Lamar
46,DAMN. COLLECTORS EDITION.,BLOOD.,1WonGCoO1sz7I4aD0HRbXy,118.066,38,2017-12-08,Kendrick Lamar
47,DAMN.,BLOOD.,1n4jwRVXdkK2U34nBDUKKT,118.066,62,2017-04-14,Kendrick Lamar
48,DAMN.,DNA.,6HZILIRieu8S0iqY8kIKhj,185.946,79,2017-04-14,Kendrick Lamar
49,DAMN.,YAH.,4BHSjbYylfOH5WAGusDyni,160.293,66,2017-04-14,Kendrick Lamar
50,DAMN.,ELEMENT.,1EaKU4dMbesXXd3BrLCtYG,208.733,70,2017-04-14,Kendrick Lamar
51,DAMN.,FEEL.,2LTlO3NuNVN70lp2ZbVswF,214.826,67,2017-04-14,Kendrick Lamar
52,DAMN.,LOYALTY. FEAT. RIHANNA.,6SwRhMLwNqEi6alNPVG00n,227.36,76,2017-04-14,Kendrick Lamar
53,DAMN.,PRIDE.,6IZvVAP7VPPnsGX6bvgkqg,275.253,82,2017-04-14,Kendrick Lamar
54,DAMN.,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,177.0,84,2017-04-14,Kendrick Lamar
55,DAMN.,LUST.,06FCvd7rrRcF3DdvWH5Isp,307.88,64,2017-04-14,Kendrick Lamar
56,DAMN.,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,213.4,81,2017-04-14,Kendrick Lamar
57,DAMN.,XXX. FEAT. U2.,4iYRa2btalAzPZoSYfROqF,254.2,69,2017-04-14,Kendrick Lamar
58,DAMN.,FEAR.,23luOrEVHMfoX0AhfbQuS6,460.573,66,2017-04-14,Kendrick Lamar
59,DAMN.,GOD.,5p3NP9mQblDsVJLdfNZJ3I,248.826,61,2017-04-14,Kendrick Lamar
60,DAMN.,DUCKWORTH.,0y9uTzK9cNKSAEHnpeRG8C,248.613,73,2017-04-14,Kendrick Lamar
61,untitled unmastered.,untitled 01 | 08.19.2014.,6OkOFxU6j0UufR97VgSnS7,247.746,49,2016-03-04,Kendrick Lamar
62,untitled unmastered.,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,258.826,62,2016-03-04,Kendrick Lamar
63,untitled unmastered.,untitled 03 | 05.28.2013.,2fgAJeky8Cpsr8Cfvn2NVp,154.346,56,2016-03-04,Kendrick Lamar
64,untitled unmastered.,untitled 04 | 08.14.2014.,1U13SSgDOxK98L1FTWYrjQ,110.066,49,2016-03-04,Kendrick Lamar
65,untitled unmastered.,untitled 05 | 09.21.2014.,3V8vWoCbKbfjNrPaQ4YtSg,338.426,56,2016-03-04,Kendrick Lamar
66,untitled unmastered.,untitled 06 | 06.30.2014.,4M2t7bP4Mq87mGMn0PObUX,208.013,57,2016-03-04,Kendrick Lamar
67,untitled unmastered.,untitled 07 | 2014 - 2016,40IQooNkPRVtn4zlE3ZFpA,496.173,54,2016-03-04,Kendrick Lamar
68,untitled unmastered.,untitled 08 | 09.06.2014.,5bBUDJUfGcG7eFy3Bf4fXv,235.506,65,2016-03-04,Kendrick Lamar
69,To Pimp A Butterfly,Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,287.36,70,2015-03-16,Kendrick Lamar
70,To Pimp A Butterfly,For Free? - Interlude,75izAeHlGuOgA865CFDyIv,130.893,58,2015-03-16,Kendrick Lamar
71,To Pimp A Butterfly,King Kunta,0N3W5peJUQtI4eyR6GJT5O,234.693,73,2015-03-16,Kendrick Lamar
72,To Pimp A Butterfly,Institutionalized,4oFtLSgHyZPNYDCcANhTnO,271.773,61,2015-03-16,Kendrick Lamar
73,To Pimp A Butterfly,These Walls,7uWVT3UkCAZyANvv0bdyQn,300.973,66,2015-03-16,Kendrick Lamar
74,To Pimp A Butterfly,u,1bxEpNR75Hq3T2oF9AZjt8,268.493,61,2015-03-16,Kendrick Lamar
75,To Pimp A Butterfly,Alright,3iVcZ5G6tvkXZkZKlMpIUs,219.333,79,2015-03-16,Kendrick Lamar
76,To Pimp A Butterfly,For Sale? - Interlude,7unx2Rvsq8D0RfOLRXclTA,291.72,56,2015-03-16,Kendrick Lamar
77,To Pimp A Butterfly,Momma,0CjJqkWOpIUXdem5hUcxAk,283.12,58,2015-03-16,Kendrick Lamar
78,To Pimp A Butterfly,Hood Politics,2UOYzhusMTypF7oAQwksCj,292.52,60,2015-03-16,Kendrick Lamar
79,To Pimp A Butterfly,How Much A Dollar Cost,4tQcyj5488alHT1ZgFduzn,261.746,62,2015-03-16,Kendrick Lamar
80,To Pimp A Butterfly,Complexion (A Zulu Love),72hFOhhhnOJZnnp6uVOgPn,263.36,58,2015-03-16,Kendrick Lamar
81,To Pimp A Butterfly,The Blacker The Berry,5Mtt6tZSZA9cXTHGSGpyh0,328.826,61,2015-03-16,Kendrick Lamar
82,To Pimp A Butterfly,You Ain't Gotta Lie (Momma Said),7A3ETuOrieyx9KSF0sn0Zf,241.68,59,2015-03-16,Kendrick Lamar
83,To Pimp A Butterfly,i,3ODXRUPL44f04cCacwiCLC,336.013,62,2015-03-16,Kendrick Lamar
84,To Pimp A Butterfly,Mortal Man,1WT11QmhZutciEv1NsHt1R,727.106,57,2015-03-16,Kendrick Lamar
85,"good kid, m.A.A.d city (Deluxe)",Sherane a.k.a Master Splinter’s Daughter,5FF6Pyuh5jW6ybKHiaiGMy,273.64,50,2012-10-22,Kendrick Lamar
86,"good kid, m.A.A.d city (Deluxe)","Bitch, Don’t Kill My Vibe",5h5tBFnbcVioFXiOixTn6E,310.72,64,2012-10-22,Kendrick Lamar
87,"good kid, m.A.A.d city (Deluxe)",Backseat Freestyle,1BR5vhAlaoUiijQ28p6jlN,212.653,58,2012-10-22,Kendrick Lamar
88,"good kid, m.A.A.d city (Deluxe)",The Art of Peer Pressure,4F8rYEoiBjPaRgQXLVtN5a,324.533,54,2012-10-22,Kendrick Lamar
89,"good kid, m.A.A.d city (Deluxe)",Money Trees,0UtnpKaReKUg2GquaSxCyD,386.906,66,2012-10-22,Kendrick Lamar
90,"good kid, m.A.A.d city (Deluxe)",Poetic Justice,3MLOAIJNWWS8FQpvdaiKR7,300.16,61,2012-10-22,Kendrick Lamar
