,name,artist,album,duration_sec,popularity,release_date,album_image_url,artist_image_url,genres,track_id,genre_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
0,Like That,Future,WE DON'T TRUST YOU,267.706,85,2024-03-22,https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb,"atl hip hop, hip hop, rap, southern hip hop, trap",2tudvzsrR56uom6smgOcSf,5,atl hip hop,hip hop,rap,southern hip hop,trap,,
1,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Metro Boomin,HEROES & VILLAINS,189.426,67,2022-12-02,https://i.scdn.co/image/ab67616d0000b273c4fee55d7b51479627c31f89,https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c,rap,3SsJ17EnPIu1B4GZshqjIS,1,rap,,,,,,
2,Count Me Out,Kendrick Lamar,Mr. Morale & The Big Steppers,283.642,75,2022-05-13,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,"conscious hip hop, hip hop, rap, west coast rap",6BU1RZexmvJcBjgagVVt3M,4,conscious hip hop,hip hop,rap,west coast rap,,,
3,CARNIVAL,¥$,VULTURES 1,264.324,55,2024-02-09,https://i.scdn.co/image/ab67616d0000b2730a31b4026a452ae8c3f97a76,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,,3w0w2T288dec0mgeZZqoNN,1,,,,,,,
4,Praise God,Kanye West,Donda,226.652,72,2021-08-29,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,https://i.scdn.co/image/ab6761610000e5eb6e835a500e791bf9c27a422a,"chicago rap, hip hop, rap",0WSEq9Ko4kFPt8yo3ICd6T,3,chicago rap,hip hop,rap,,,,
5,BACK TO ME,¥$,VULTURES 1,295.471,39,2024-02-09,https://i.scdn.co/image/ab67616d0000b2730a31b4026a452ae8c3f97a76,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,,1icgLGTpX2fQXKRe4D7w2b,1,,,,,,,
6,FUK SUMN,¥$,VULTURES 1,209.577,46,2024-02-09,https://i.scdn.co/image/ab67616d0000b2730a31b4026a452ae8c3f97a76,https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8,,5tEaVciE2GnR28aN6W9cLS,1,,,,,,,
7,MY EYES,Travis Scott,UTOPIA,251.249,83,2023-07-28,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,"rap, slap house",4kjI1gwQZRKNDkw1nI475M,2,rap,slap house,,,,,
8,redrum,21 Savage,american dream,270.697,83,2024-01-12,https://i.scdn.co/image/ab67616d0000b273bbdceba2bf1867d4966d0347,https://i.scdn.co/image/ab6761610000e5eb4f8f76117470957c0e81e5b2,"atl hip hop, hip hop, rap",52eIcoLUM25zbQupAZYoFh,3,atl hip hop,hip hop,rap,,,,
9,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243.836,86,2016-09-16,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,"rap, slap house",6gBFPUFcJLzWGx4lenP6h2,2,rap,slap house,,,,,
10,FE!N (feat. Playboi Carti),Travis Scott,UTOPIA,191.7,89,2023-07-28,https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,"rap, slap house",42VsgItocQwOQC3XWZ8JNA,2,rap,slap house,,,,,
11,IDGAF (feat. Yeat),Drake,For All The Dogs,260.111,77,2023-10-06,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"canadian hip hop, canadian pop, hip hop, pop rap, rap",2YSzYUF3jWqb9YP9VXmpjE,5,canadian hip hop,canadian pop,hip hop,pop rap,rap,,
12,First Person Shooter (feat. J. Cole),Drake,For All The Dogs,247.444,75,2023-10-06,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9,"canadian hip hop, canadian pop, hip hop, pop rap, rap",7aqfrAY2p9BUSiupwk3svU,5,canadian hip hop,canadian pop,hip hop,pop rap,rap,,
